Datetime,Open,High,Low,Close,% Change,Volume
2024-03-19 12:30:00,171.93,172.72,171.17,171.73,-0.12%,7104257
2024-03-19 13:30:00,171.72,171.92,170.56,171.43,-0.17%,6069639
2024-03-19 14:30:00,171.42,172.2,171.02,171.22,-0.12%,6491916
2024-03-19 15:30:00,171.21,171.8,171.09,171.31,0.06%,4573934
2024-03-20 09:30:00,172.96,174.32,170.82,171.12,-1.06%,21898797
2024-03-20 10:30:00,171.14,173.5,171.09,172.65,0.88%,12859939
2024-03-20 11:30:00,172.65,173.46,171.78,171.91,-0.43%,8055564
2024-03-20 12:30:00,171.92,173.17,171.75,172.95,0.60%,5565501
2024-03-20 13:30:00,172.94,174.83,172.82,173.87,0.54%,9891655
2024-03-20 14:30:00,173.87,175.64,172.48,175.38,0.87%,14483825
2024-03-20 15:30:00,175.37,176.25,175.24,175.73,0.21%,7013455
2024-03-21 09:30:00,176.36,178.09,173.8,175.05,-0.74%,23813682
2024-03-21 10:30:00,175.07,175.95,174.08,175.08,0.01%,11343908
2024-03-21 11:30:00,175.09,175.29,173.76,174.26,-0.47%,8229898
2024-03-21 12:30:00,174.27,174.42,172.83,173.37,-0.52%,7447560
